title,original_name,body,rating,iframe,ganre,img,category,data,length,actor,director,country,quolity,translation,trailer
Невинные 1 сезон онлайн в HD,The Innocents,"Парочка подростков зажгла свою жизнь, они влюблены, все остальное не имеет смысла. К сожалению, ребятам приходится любить тайком, ведь родители по неизвестным причинам не разделяют их рвения, картина «Невинные» покажет, какова истинная причина опасения взрослых. Кружась и торопясь жить, влюбленные мечтают быстрей открыть мир грез, чуть наивные и смешные герои убегают, надеясь получить на свободу. Родоначальники знают, что Джун не умеет контролировать имеющуюся силу, когда ей надоест претворяться, она превратится в  страшное оружие. Шагая вперед, без сомнений и страхов юная красавица может допустить ошибки и навредить окружающим.
Чтобы стать совершенной придется утихомирить злость и держать в узде страсть. Возможно, помочь девчонке может профессор Халворсон, который знается в таких тонкостях. Не, будут ли сожалеть персонажи, что не послушались наставлений предков, смогут ли справиться с эмоциями? Собирая ненужный жизненный мусор, подростки самостоятельно учатся на ошибках, трудности энтузиасты научились преодолевать, важно не сломаться, сдавшись без боя. Оказывая поддержку милой, парень сможет указать дорогу, где нет засад, вдвоем они обязательно справятся, тогда не нужен будет специалист. В какое русло повернет девица имеющийся потенциал, выполнит ли благую миссию?
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/bf051ca3a0bad3222e6e1d327a9e7036/iframe?season=1""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">LostFilm</div> </div>","Фантастика,Мелодрама,Сериалы 2018,Драма,Триллер,",http://hdkino.vip/_dr/3/59944002.jpg,Serials,2018,46 мин.,"Сорча Граундселл, Перселл Аскотт, Гай Пирс, Йоуханнес Хёйкьюр Йоуханнессон, Лаура Бирн, Сэм Хэзелдайн, Артур Хьюз, Надин Маршалл, Лизе Рисом Олсен, Ингунн Беате Ёйен","Фэррен Блэкберн, Джеми Донахью",Великобритания,,LostFilm / IdeaFilm / Alexfilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/e6ZRkpWPJEQ"" width=""100%""></iframe>"
Элементарно 6 сезон онлайн в HD,Elementary,"Шерлок – сыщик, но он пристрастился к наркотикам, за что был отправлен на лечение в Нью-Йорк. В реабилитационном центре парню помогли забыть о пагубных привычках и вернуться к нормальной жизни, картина «Элементарно» покажет, чем намерен заниматься Холмс дальше. Руководство предложило мужчине остаться в качестве консультанта, учитывая, что даже сложные дела он всегда расследовал успешно. В напарники детективу дали наблюдателя, доктора Джоан Ватсон, даму с хмурым и мрачным нравом, но компаньон без укоризны отнесся к такому поведению сотрудницы. Теперь парочка обязательно сможет разобраться, кто попирает права, изучить темные стороны жизни преступного мира.
Ребята следят и запоминают, непростой труд все успеть, ведь иногда стоит в считанные минуты принимать решения и важно не обмануться. У азартных малых хватает нескучных дел, от ретивых компаньонов не ускользнет поддонок, внимательный взгляд знатоков сразу разгадает замыслы злодея.  Собирая улики, коллеги уже чувствуют наперед, кому приходит суровый час расплаты. Острый ум работников способен переработать тысячи решений и важно, чтобы было одно мнение на двоих. Ребята по-своему гениальны, власти довольны работой исполнителей, ведь раскрывая мерзкие секреты, опытные труженики не позволяют державе трещать по швам.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/e8fecdefe3193000f849328c78ab5548/iframe?season=6"" frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac""> LostFilm </div> </div>","Детектив,Сериалы 2018,Драма,Криминал,",http://hdkino.vip/_dr/2/42324542.jpg,Serials,2018,44 мин.,"Джонни Ли Миллер, Люси Лью, Эйдан Куинн, Джон Майкл Хилл, Натали Дормер, Ато Эссонда, Линда Эмонд, Майкл Ден Деккер, Винни Джонс, Эрик Дженсен","Джон Полсон, Эндрю Бернштейн, Сет Манн",США,,LostFilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/HPypBiQz_OM"" width=""100%""></iframe>"
Хорошая борьба 2 сезон онлайн в HD,The Good Fight,"Диана смогла поднять бизнес на достойный уровень, умная и талантливая леди была требовательной к себе и окружающим людям. Однако нашлись предатели сумевшие вытолкнуть ее из собственной компании, при этом запятнана честь дамы и ее крестной дочери, картина «Хорошая борьба» покажет, сможет ли бывший руководитель встать с колен и отмыться от гадкой клеветы. Обвиненная в крупномасштабном мошенничестве персона, стремится доказать всем, что чиста перед законом, но интриганы продолжают плести изощренные кружева сплетен. Поступки, мнения, темные дела оппонентов уже не интересуют энтузиастку, она имеет достаточный запас знаний, дабы восстановить справедливость и очистить репутацию.
Не взирая, на вражду, героиня действует, вскоре поступает деловое предложение от Лукки Квинн, женщина призывает к сотрудничеству незаслуженно униженных девушек. Образовавшаяся коалиция намерена разрушить черные планы поддонков, не позволяя иным доверчивым и честным гражданам попадать впросак. Железная хватка участниц проекта поможет сломить хребет старому устою, где имею место козни и обманы, акулы бизнеса предложат новую схему ведения дел, без подлых кривых программ, незыблемым как стена участницам удастся забыть драму прошлого, помогая в пути, друг дружке. Старым шулерам стоит задуматься.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/82cb57f08be58b3246e80625eca0c88d/iframe?season=2"" frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">Gears Media</div> </div>","Сериалы 2018,Драма,",http://hdkino.vip/_dr/2/38770368.jpg,Serials,2018,51 мин.,"Кристин Барански, Джастин Барта, Пол Гилфойл, Роуз Лесли, Делрой Линдо, Каш Джамбо, Сара Стил, Эрика Н. Тэйзел, Скотт Брюс, Апрелла, Кори Котт, Према Крус, Виктор Круз, Йен Кэмпбелл Данн, Зак Гренье, Анна Хайа, Джеймс Мартинес, Хелен Йорк",Брук Кеннеди,США,,Gears Media,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/naLhFU4uKvc"" width=""100%""></iframe>"
Спасение 2 сезон онлайн в HD,Salvation,"Мать-одиночка успевает совмещать домашние хлопоты и работу пресс-секретаря. Однажды  аспирант и технический гений приходят к выводу, что скоро на землю упадет мощный астероид и уничтожит все живое, картина «Спасение» покажет, как на заявление парней отреагирует приятельница. Неужели всему человечеству предстоит умереть, а земной поверхности разрушиться, согласиться с этой мыслью героине не хочется. Светопреставление не радует героиню, она переживает за ребенка, неужели крах неизбежен. Подсознательный страх не дает покоя, что можно сделать, как избежать беды, неужели осталось всего шесть месяцев?
Вовлеченная в секретную операцию по спасению людей женщина, силится уберечь семью от негативной информации. Неразрешенных вопросов много, ведь до этого сообщения уже неоднократно назывались разные даты конца, возможно, удастся уберечь мир от беды. Тем временем близится день, простые арифметические просчеты не помогу, здесь нужны более серьезные действия. Напряжение усиливается, апатия и уныние охватывает участников, теперь особе предстоит пройти невероятные испытания, дабы, не поддавшись панике, выжить. Все же перспектива не радужная, ребята с огромным неистовством стараются предупредить конец, удастся ли персонажам одержать верх в неравной бите с катастрофой.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/a26c5a7e1cd258f36aaf36d2a7b9eb1b/iframe?season=2""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">BaibaKo</div> </div>","Фантастика,Сериалы 2018,Драма,Триллер,",http://hdkino.vip/_dr/3/07627264.jpg,Serials,2018,45 мин.,"Иэн Энтони Дэйл, Дэннис Буцикарис, Сантьяго Кабрера, Дженнифер Финниган, Чарли Роу, Шон Аффлек, Жаклин Байерс, Грег Кэлдерон","Хуан Карлос Фреснадильо, Ник Гомез, Грег Биман",США,,BaibaKo / Jaskier,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/A34OV9uYZWg"" width=""100%""></iframe>"
Киллджойс 4 сезон онлайн в HD,Killjoys,"Жители планеты Креш намерены расширить территории, они превратили спутники в колонии, чтобы везде был порядок, приходится следить и строго наказывать нарушителей устоев. Парочка служителей укладов строго следит за соблюдением правил, картина «Киллджойс» покажет, как удается ребятам находить компромисс, когда характеры и методы работы у них такие разные. Датч – молодая как ветер девица согласна преступить закон, если считает, что цивилизованным путем решить проблему не получается. Наивный до предела Джон, напротив всех жалеет, полагая, что насилие не уместно. Частенько парочка вступают в баталии по вопросам, связанным с нарушениями.
Паренек уверен, только правда может победить любое зло, надеясь, что возмездие придет в свое время. Молодой человек совершенно не намерен терпеть матриархат. Вскоре отношения между коллегами ухудшаются после приезда брата юноши. Какое влияние окажет Дэйвин на обоих участников, неужели примет чью-то сторону, тогда баталии усилятся, и некогда будет наблюдать за правопорядком, герои начнут просто выяснять отношения. Какими методами будут бороться с пороками мира блюстители порядка, чем будут побеждать зло? Неужели у наведавшегося родственника найдутся собственные методы утихомиривать разнуздавшийся люд, но будут ли они интеллигентными?
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/2c66561b3e2d0ad942e9847007619b65/iframe?season=4""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">LostFilm</div> </div>","Боевик,Фантастика,Сериалы 2018,Приключения,Триллер,",http://hdkino.vip/_dr/3/12162370.jpg,Serials,2018,43 мин.,"Ханна Джон-Кэймен, Аарон Эшмор, Люк МакФарлейн, Роб Стюарт, Тамсен МакДонаф, Том Эллисон, Сара Пауэр, Нора МакЛеллан, Морган Келли, Фрэнк Мур","Крис Грисмер, Паоло Барзмен, Кен Джиротти",Канада,,LostFilm / BaibaKo,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/NUztULMMTRI"" width=""100%""></iframe>"
Навсегда 1 сезон онлайн в HD,Forever,"Жизнь супругов Оскара и Джун как привычное меню, у них ничего не меняется, принимаются монотонные решения, каскада акробатических новшеств не наблюдается, интересных жизненных кадров не предвидится. С каждым дыханием герои взрослеют, тело старее, в головах персонажей доли ума и собственные мысли, картина «Навсегда» покажет, будут ли перемены у влюбленных. На протяжении долгих лет родственники обсуждают проблемы, отдыхают у озера и ждут, когда сменятся времена года. Иногда капли свободы капают с неба, падая на землю, после паром опять поднимаются ввысь, через минуты снова вниз, но сдвинуть с места вялотекущий процесс персонажи не торопятся.
Будни бесцельно погибают в суете, хватит ли сил выбраться из загнивающего болота бездействия. Стоит оглянуться и сообразить, что рай где-то рядом, требуется встряхнуться и сделать несколько шагов к радостному времяпровождению. Вскоре жене пришла мысль отправиться на горнолыжный курорт, уговаривать мужа долго не пришлось, собравшись, милые отправились в путь. Правильно ли выбрала маршрут семья, что ждет их впереди? На сердце героев грусть и ожидание, как пройдет отдых на косогоре, где масса снега и море простора? Станет ли супружеская чета счастливее, сблизит ли курорт, распалив трепетный огонек?
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/5278cb4a249a1631be7ad0f2cbc9d2bd/iframe?season=1""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">BaibaKo</div> </div>","Сериалы 2018,Комедия,",http://hdkino.vip/_dr/3/22010136.jpg,Serials,2018,30 мин.,"Майя Рудольф, Фред Армисен, Кэтрин Кинер, Ной Роббинс, Шэрон Оми, Ким Уитли, Джулия Ормонд, Обба Бабатунде","Алан Янг, Мигель Артета, Яница Браво",США,,BaibaKo / Субтитры,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/bagwg_tXlhc"" width=""100%""></iframe>"
Большой куш 2 сезон онлайн в HD,Snatch,"Предприимчивые молодчики не были первыми, кому пришла в голову идея присвоить чужое добро. Когда группа парней натыкается на грузовик, набитый доверху золотом, решает, что это шанс стать баснословно богатыми, картина «Большой куш» покажет, смогут ли мошенники извлечь пользу из находки. Воры теперь считают себя элитой, но пара извили в голове, не работает, мыслить авантюристы не научились, значит, не имеющим стыда наглецам предстоит столкнуться противниками. Хватам кажется, что они уже феодалы, но за все предстоит рассчитаться, ведь у капитала есть хозяин и ему совершенно не хочется распрощаться с драгоценным металлом.
Юноши действуют себе в угоду, но по их следу уже бегут гангстеры, продажные копы и цыганские вышибалы. Герои, вероятно, забыли, что насилие введено в моду, преступники сеют в мире ненависть, значит, ставки в игре подняты. Готовы ли персонажи подставить шеи под удавки, ведь не они владельцы имущества? Преследователи лютуют, они не согласны распрощаться с богатствами и готовы уничтожить глупцов, которые пользуют накоплениями. Неуловимо быстро воришки движутся в людском потоке, соскальзывая от притеснителей. Скоро хрупкое благополучие грозит разбиться в осколки, не сотрут ли глупцы до крови собственные жизни за призрачное богатство.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/11124f255b8ed0f95eef3dd7a8739c9f/iframe?season=2""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">IdeaFilm</div> </div>","Сериалы 2018,Комедия,Криминал,",http://hdkino.vip/_dr/3/05663975.jpg,Serials,2018,44 мин.,"Тамер Хассан, Джульетт Обри, Фиби Дайневор, Руперт Гринт, Люсьен Лависконт, Стефани Леонидас, Люк Паскуалино, Наоми Редди, Дюгрей Скотт, Марк Уоррен","Лоуренс Гоф, Николас Рентон, Джеффри Сакс","Великобритания, США",,IdeaFilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/ZGZPXT49XT8"" width=""100%""></iframe>"
Неуправляемая 2 сезон онлайн в HD,Ingobernable,"Женщина не может скрыть эмоций, ей не верится что супруг – глава государства. Теперь леди уверена, муж обязательно наведет порядки в стране, значит, грядет процветание. Вскоре выясняется, что сильные лидеры тоже ломаются, перед соблазнами избранник не смог устоять, превратившись в безответственного взяточника, картина «Неуправляемая» покажет, что предпримет героиня, чтобы улучшить жизнь граждан. Содержательная особа вовек не признает для пиара какую-нибудь шумиху, она не намерена исповедовать лакейскую жизнь при дворе. Для персоны свобода и честь является главным ориентиром.
Воля красавицы, словно негнущийся прочный сплав, она согласна все переиначить, однако достаточно ли у синьоры полномочий, дабы вводить новые законы и порядки? Не виня милого, предводительница согласна икать лазейки, чтобы не зацепить честь главы, но достичь результата. Не прогибаясь для выгоды, совесть, не меняя на блат, сильная фигура идет напролом, не допуская падения исполнителя власти, при этом себя не унижая. Энтузиастка поняла, что вырулить ситуацию стоит не словом, а нужно молча решать дела. Тащить на себе приходится государственные проблемы, но непосильный крест не страшит сеньориту. Завистью вырытые ямы героиня преодолевает с легкостью, показывая нерадивому главарю пример.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/9ec0d8b359c34c0b7fe5bd75b988cf4f/iframe?season=2""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">Coldfilm</div> </div>","Детектив,Сериалы 2018,Драма,Криминал,Триллер,",http://hdkino.vip/_dr/3/76011320.jpg,Serials,2018,44 мин.,"Кейт дель Кастильо, Марко Антонио Тревиньо, Джоэль Кларк Эккерман, Эрендира Ибарра, Альберто Герра, Эрик Айсер, Альваро Герреро, Аида Лопес, Алисия Запьен, Макси Иглесиас",Педро Пабло Ибарра,Мексика,,Coldfilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/hrOfDzj2oU0"" width=""100%""></iframe>"
Первые 1 сезон онлайн в HD,The First,"Группа астронавтов и ученых отправляется на Марс, оказавшись в черной невесомости, путники на огромной скорости мчат к цели. Задача команды прибыть на место и колонизировать обывателей Красной Планеты, картина «Первые» покажет, осуществят ли дерзновенные намерения исследователи. Жильцам Звездного Дома тесно на земле, их мечты устремлены вдаль, они намерены, через порог на космодроме шагнуть в миры, словно в комнаты. Окунаясь в неразгаданный мир, оккупанты забыли о семьях, оставшихся дома, однако смогут ли достичь успеха в неизвестных измерениях. Что таит загадочный космос, науке предстоит вычислить, дабы властвовать над неземными существами.
Стремясь добиться успеха, смельчаки готовы страдать и бороться, чтобы открыть космические тайны. Какие секреты предстоит разгадать, похоже, могучее пространство не намерено сдаться. Тому Хаггерти приходится сталкиваться с массой засад, в этот момент родственники переживают не лучшие моменты. Участников разделяют черные прозрачные материи неба, что жжет каждого из персонажей, неужели колонистам удастся осуществить задумку, что они будут делать, подмяв под себя бесконечные просторы малоизученной планеты? Гонимая ветром страшная космическая пустыня закружила героев, как отреагирует на вторжение неподвижная армада звезд. Вселенная встревожена, чужаки явно не понравились.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/35c7cb5d79e1d65271f60a3669c5a8d0/iframe?season=1""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">Coldfilm</div> </div>","Фантастика,Сериалы 2018,Драма,",http://hdkino.vip/_dr/3/23333726.jpg,Serials,2018,45 мин.,"Шон Пенн, Рей Лукас, Брайан Франклин, Т.С. Мэтерн, Лиза Гэй Хэмилтон, Ханна Уэр, Джеймс Рэнсон, Анна Джэкоби-Херон, Одед Фер, Наташа МакЭлхоун","Агнешка Холланд, Дениз Гамзе Эргювен, Ариел Кляйман",США,,Coldfilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/B16-P64Mizs"" width=""100%""></iframe>"
Стрелок 3 сезон онлайн в HD,Shooter,"Морского пехотинца главные фигуры у власти желают использовать для своих грязных замыслов. В программу дельцов входит уничтожение главы государства и захват престола. Боб осознавая, что его желают использовать в ликвидации президента решается сбежать, картина «Стрелок» покажет, что будет делать парень после побега. Отважный малый намерен из засады наблюдать за событиями и вычислить киллера. Порой герою приходится жертвовать, дабы сохранить жизнь главе государства, идти смело в бой не получается, иначе сразу проиграет сражение, стоит затаиться, чтобы нанести сокрушительный удар исподтишка.
Паренек не прост и опасен для оппонентов, но они его в расчет не берут, не подозревая о задумке снайпера. Что будет дальше, правильно ли спланирует хода смельчак. Освященный ореолом героизма герой почти у цели, будут ли оправданы старания и заслуги, когда получиться предотвратить расстрел главы. Оценят ли службы достижения Суэггера. Почему так решил поступить герой от бескорыстного великодушия или пожелал выполнить долг перед отечеством, ведь рискуя, он может лишиться собственной жизни. С холодным спокойствием пехотинец выслеживает стрелка, он отчаянно стремиться убрать преграды, дабы добиться своего, разгадав тайну коварного замысла и определив главных игроков.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/1d6e2f6e2dc90d0c439e0fb6600fca5a/iframe?season=3""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">BaibaKo</div> </div>","Боевик,Сериалы 2018,Драма,",http://hdkino.vip/_dr/3/02023897.jpg,Serials,2018,42 мин.,"Шантель Ван Сантен, Райан Филипп, Джон Маршалл Джонс, Джина Гальего, Дэвид Марсиано, Омар Эппс, Эдди МакКлинток, Лекси Колкер","Дэвид Стрейтон, Саймон Селлан Джоунс, Кристоф Шреве",США,,BaibaKo / IdeaFilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/OkprcGibEWM"" width=""100%""></iframe>"
Королева юга 3 сезон онлайн в HD,Queen of the South,"Тереса, разбивая слезы о землю, пытается скрыться в Техасе и забыть, что произошло с ней в Мексике. Любимый убит, она в опасности, нужно научиться жить по-иному. Вскоре активную и предприимчивую девчонку замечает наркобаронесса, пригласив к сотрудничеству, картина «Королева юга» покажет, станет ли прислужницей юная леди. Выяснилось, что состоятельная дама решила разрушить бизнес муженька, прибрав к рукам его состояние, и девица должна помочь в грязном деле. Героиня не глупа, дабы являться пешкой в чужой игре, куда лучше хитро переставив фигуры властвовать самостоятельно. Считая на семь ходов вперед хваткая персона, зная тонкости бизнеса, начинает потихоньку, стоя за спинами главных участников действовать. Вскоре ей удается подчинить своей воле врагов и союзников.
Шагая по жизни как по шахматной доске, она из незначительной фигурки превратилась в ферзя. Обдумывая правильности хода, энтузиастка движется влево, вправо, соперник силен, но в сражение должна победить только она. Дыбы добиться высот, нельзя совершать ошибок, однако красавица не учла, что за столь стремительный взлет придется расплачиваться, и важно вовремя сделать рокировку. Даст ли возможность отважная леди свершить свой ход оппонентам. Пока ясность духа и холодный разум, надежные друзья плутовки, но будет ли она внимательна дальше, ведь в каждой партии новые игроки у которых в запасе хитрость и самообладание.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/5740a0eb26d19bed83f616332c28dfa9/iframe?season=3"" frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac""> BaibaKo</div> </div>","Боевик,Сериалы 2018,Драма,Криминал,Триллер,",http://hdkino.vip/_dr/3/41182993.jpg,Serials,2018,42 мин.,"Джон Майкл Экер, Адольфо Альварез, Жоаки де Алмейда, Вероника Фалькон, Фелипе Барриентос, Сэнди Валлес, Питер Гадиот","Дэвид Бойд, Дэйв Родригез, Эдуардо Санчес",США,,BaibaKo / Newstudio / LostFilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/IvzqRBiLg7w"" width=""100%""></iframe>"
Касл-Рок 1 сезон онлайн в HD,Castle Rock,"Начальник тюрьмы совершил самоубийство, какие причины послужили этому неизвестно, теперь законникам предстоит разобраться в важном деле. Когда был найден труп, на закрытом крыле тюрьмы обнаружили странного юношу, непрерывно повторяющий имя адвоката Генри Дивера. Правовед решил наведаться в город, где когда-то трагически погиб отец, дабы выяснить все причины, ведь мужчины были как-то связаны с этим местом, картина «Касл-Рок» покажет, какие зацепки найдет юрист. Как узнать историю загадочного тюремщика, минуя ложь и фальшивые повествования, двигаться вперед сложно, найти факты затруднительно, когда же откроется правда?
Почему все произошло, каким интересам служит узник, возможно, он хитрит и изворачивается, заводя правоохранителей в заблуждение. Не исключено, что парень циничный и наглый врун и лишь прикидывается блаженным. Слуга закона в запале пытается копаться в прошлом, порой случается вести пустую полемику и безрезультатно делать шаги. Складывая этажи из полученных данных, правовед получает картинку, скоро все выйдет напоказ, но не заблуждается ли мужчина? События минувших дней, словно большая свалка, копаться противно и неприятно, все говорит о том, что не зря был совершен суицид. Остается только определить был ли суицидник когда-то знаком с погибшим?
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/e2241ab1cb933f86796b88331680dc84/iframe?season=1""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">IdeaFilm</div> </div>","Ужас,Фэнтези,Детектив,Сериалы 2018,Драма,Триллер,",http://hdkino.vip/_dr/3/49295035.jpg,Serials,2018,55 мин.,"Мелани Лински, Скотт Гленн, Андре Холланд, Джейн Леви, Терри О’Куинн, Билл Скарсгард, Сисси Спейсек, Калил Харрис, Чоузен Джейкобс, Эрик Шарп","Майкл Аппендаль, Дэниэл Эттиэс, Кевин Хукс",США,,IdeaFilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/gXsKCQenpt0"" width=""100%""></iframe>"
Железный кулак 2 сезон онлайн в HD,Iron Fist,"Дэниэл возвращается в Нью-Йорк, парень по-прежнему намерен вести борьбу со злодеями используя приобретенные навыки. Герой видит, что преступников условно сажают, затем внезапно досрочно освобождают, он в замешательстве, картина «Железный кулак» покажет, когда защитник будет считать битву с преступностью успешной. Персонаж может вызывать мощь кулака, значит точно получиться остановить даже будущих злоумышленников. Обычный с виду паренек ходил и уничтожал врагов, противники сильны, но остановить поборника порядка сложно, он уже отчаянно выискивает жертву, надеясь, зло превратить в хлам. Безусловно, резкие действия освободителя станут профилактикой готовящихся злодеяний.
Средства защитника  народа многие считают довольно странными, и они имею основание, ведь это показатель жестокости. Порой молодой человек, кажется, знает судьбу наперед, без гадалок и предсказателей он готов уничтожить любого труса и поддонка. Твердо, выбрав путь, силач уверен, что жалкие олухи не смогут победить, ведь он прав.  С гневом в сердце борец проворно и точно наносит удары, когда чаша терпения переполняется. Что будут делать криминальный объекты, когда поймут, что бравый малый откроет на них охоту? Противостояние началось, значит, будет много историй, важно дабы финал был позитивным и город очистился от наглецов.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/7c9534bd69615ff991d1442d71d0c537/iframe?season=2"" frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac""> BaibaKo</div> </div>","Боевик,Фантастика,Фэнтези,Сериалы 2018,Криминал,Приключения,",http://hdkino.vip/_dr/3/17610975.jpg,Serials,2018,55 мин.,"Финн Джонс, Джессика Хенвик, Джессика Строуп, Дэвид Уэнэм, Розарио Доусон, Рамон Фернандес, Хосе Баэс, Людовик Куто, Тоби Николс, Крэйг Джерати","Джон Дал, Фэррен Блэкберн, Ута Бризвитц",США,,BaibaKo / LostFilm / IdeaFilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/kvvWB0GwCek"" width=""100%""></iframe>"
Полиция Парадайз 1 сезон онлайн в HD,Paradise PD,"За порядком крохотного городка следят не совсем порядочные полицейские, нормальными  работниками их назвать сложно, они исполняют труд не всегда в хорошем настроении. Возможно, периодически находит затмение, что ребята отчаиваются, картина «Полиция Парадайс» покажет, почему главные персонажи – отвратительные копы. Ежедневно служивые намереваются показать себя с лучшей стороны, но все получается криво, это унизительно, когда блюстители порядка не справляются с заданием. Каждый раз прав охранители мечтают выполнить обязанности отлично, но выходит формально и неуклюже. Что происходит  с бравыми малыми, вероятно парни больше любят не работу, а зарплату, остальное героем совершенно не интересует.
Защитники мечтают об отпуске, дела мирян их мало волнуют, иногда они берутся за дело, но охладев, бросают, не желая становиться рабами при исполнении. Нормы и сроки неудачников в погонах совершенно не беспокоят, они буквально засыпают на посту. Почему так ведут себя урядники неучтиво, наверное, наведение общественного порядка они считают не престижной профессией, тогда пусть берутся за иной спектр функций. Горожане возмущены и желают исправить положение, но, к сожалению, ничего не выходит. Когда копы исправятся и станут образцовыми стражами порядка?
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/45e1491ea252e59d9d62079c0573c69d/iframe?season=1""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">Newstudio</div> </div>","Мультсериал,Сериалы 2018,Комедия,Криминал,",http://hdkino.vip/_dr/3/24110870.jpg,Serials,2018,30 мин.,"Том Кенни, Дэвид Херман, Сара Чок, Дэна Снайдер, Седрик Ярброу, Кайл Кинан","Роджер Блэк, Вако О’Гуин",США,,Newstudio / Субтитры,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/EWSIOBbzuSE"" width=""100%""></iframe>"
